device,device_type,conf_os_fmly_nm,conf_browser_fmly_nm,user_agent_long_tx
Desktop,Other,Other,Other,;__CT_JOB_ID__:a08bf520-5bb4-47b2-b33f-94bb9b002c69;
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G920V Build/NMF26F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/57.0.2987.132 Mobile Safari/537.36 AlohaBrowser/1.1.0.6"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 8.1.0; Redmi 4X Build/OPM1.171019.018) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android Tablet,Android,Other,Opera/9.80 (Android; Opera Mini/7.0.30496/87.26; U; en) Presto/2.12.423 Version/12.16
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG SM-G900A Build/LRX21T) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0; Lenovo A7020a40 Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; U; Android 4.4.2; en-us; LG-D320 Build/KOT49I.A1500461576) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.1599.103 Mobile Safari/537.36"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) GSA/19.0.133715217 Mobile/15D100 Safari/600.1.4"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; LG-K240 Build/MXB48T) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; SGP771 Build/32.4.A.1.54) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Safari/537.36"
Mobile,iPhone,iOS,Firefox,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_3_3 like Mac OS X) AppleWebKit/603.3.8 (KHTML, like Gecko) FxiOS/1.5.3b18.02.14.13 Mobile/14G60 Safari/603.3.8 _id/000090"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; A40Style Lite Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/62.0.3202.84 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; SM-E700H Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Flipboard/4.1.14/4350,4.1.14.4350"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; LG-H831 Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 MxBrowser/4.5.10.1300"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; U; Android 5.1; en-US; itel it1556 Plus Build/LMY47D) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 UCBrowser/10.8.8.730 U3/0.8.0 Mobile Safari/534.30"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; LG-D335E Build/KOT49I.A1455181819) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; TG-L900S Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; SM-J320V Build/NMF26X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Instagram 34.0.0.12.93 Android (25/7.1.1; 320dpi; 720x1280; samsung/Verizon; SM-J320V; j3ltevzw; qcom; en_US; 94080606)"
Tablet,iPad,iOS,Safari,"Mozilla/5.0 (iPad; CPU OS 11_2_6 like Mac OS X) AppleWebKit/602.1.50 (KHTML, like Gecko) GSA/24.1.151204851 Mobile/15D100 Safari/602.1"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.0.2; HTC E9 Plus Build/LRX22G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-J327U Build/NRD90M.J327UUEU2AQL1; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/63.0.3239 Mobile Safari/537.36 MainLauncher/2.2.18"
Mobile,Windows Phone,Windows,Other,"Mozilla/5.0 (Windows Phone 10.0; Android 6.0.1; HTC; Lumia 735) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Mobile Safari/537.36 Edge/15.15063"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.4; 831C Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.116 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 8.1; Nexus 6P Build/OPM3.171019.014) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Mobile Safari/537.36"
Desktop,Other,Other,Other,;__CT_JOB_ID__:89c040a3-7d3d-4d35-95b1-3c2b216610cd;
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; Lenovo YB1-X90F Build/NMF26X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Safari/537.36"
Desktop,PC,Windows,Other,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.140 Safari/537.36 OPR/51.0.2830.34 (Edition 360-1)"
Mobile,Android Tablet,Android,Other,Opera/9.80 (Android; Opera Mini/32.0.2254/88.150; U; ar) Presto/2.12.423 Version/12.16
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; G3423 Build/48.0.A.1.131) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36"
Desktop,PC,Windows,IE,Mozilla/5.0 (Windows NT 6.1; Trident/7.0; xs-HMwyA6SouXs;CrExj1; rv:11.0) like Gecko
Mobile,Android,Android,Chrome,"NerdWallet/2.9.0 (android; 24; es-US) ### Mozilla/5.0 (Linux; Android 7.0; LGMP260 Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; vivo 1606 Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.102 Mobile Safari/537.36 VivoBrowser/5.2.2"
Desktop,PC,Windows,IE,Mozilla/5.0 (Windows; U; MSIE 9.0; Windows NT 6.1; Win64; x64; Trident/5.0; Zune 4.4; .NET4.0E; en-IE)
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; Nexus 7 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/59.0.3071.135 Safari/537.36"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-T810 Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Safari/537.36 Instagram 34.0.0.12.93 Android (24/7.0; 320dpi; 1536x2048; samsung; SM-T810; gts210wifi; universal5433; en_US; 94080606)"
Desktop,PC,Windows,IE,Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; xs-eC5_DhBNEWU;CgIVZr; rv:11.0) like Gecko
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; HUAWEI Y520-U12 Build/HUAWEIY520-U12) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG SM-G930F/XXU1DQL4 Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Mobile Safari/537.36"
Desktop,PC,Windows,Chrome,"Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3246.0 Safari/537.36"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.4; B1-810 Build/KTU84P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; SAMSUNG-SM-G900A Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.109 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-G930F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Flipboard/4.1.13/4342,4.1.13.4342"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; U; Android 6.0.1; en-ca; LGLS676 Build/MXB48T) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Hawk/QuickBrowser/2.2.1.20835"
Desktop,PC,Windows,Chrome,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/5310 (KHTML, like Gecko) Chrome/13.0.807.0 Safari/5310"
Mobile,Android Tablet,Android,Android,UCWEB/2.0 (Java; U; MIDP-2.0; Nokia203/20.37) U2/1.0.0 UCMini/11.1.1.1091 (SpeedMode; Proxy; Android 4.4.2; HTC_Desire_526GPLUS_dual_sim ) U2/1.0.0 Mobile
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Focus/4.0.2 Chrome/65.0.3325.109 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 7.0; SM-G925P Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/60.0.3112.116 Mobile Safari/537.36 OPR/44.1.2246.123029"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 8.1.0; Pixel XL Build/OPM1.171019.021) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.144 Mobile Safari/537.36"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_1 like Mac OS X) AppleWebKit/601.1.46 (KHTML, like Gecko) Version/9.0 Mobile/13B143 Safari/601.1 PTST/SpeedCurve/180308.150325"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.0.2; A3-A30 Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0.1; Redmi 4 Build/MMB29M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/65.0.3325.109 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; ASUS_A002A Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.144 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-J326AZ Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/65.0.3325.109 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; Moto E (4) Build/NCQ26.69-56) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3365.0 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SAMSUNG-SM-G930A Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Instagram 32.0.0.16.94 Android (24/7.0; 480dpi; 1080x1920; samsung; SAMSUNG-SM-G930A; heroqlteatt; qcom; en_US; 91882539)"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; SM-N950W Build/NMF26X) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.111 Mobile Safari/537.36 EdgA/41.0.0.1656"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_1 like Mac OS X) AppleWebKit/604.4.7 (KHTML, like Gecko) Mobile/15C153 Instagram 32.0.0.14.97 (iPhone9,3; iOS 11_2_1; en_US; en-US; scale=2.00; gamut=wide; 750x1334)"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; 2014811 Build/LMY47V) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 7.0; VTR-L29 Build/HUAWEIVTR-L29; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.132 MQQBrowser/6.2 TBS/043906 Mobile Safari/537.36 MicroMessenger/6.6.1.1220(0x26060135) NetType/4G Language/zh_CN"
Desktop,PC,Windows,IE,Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; .NET4.0E; .NET4.0C; .NET CLR 3.5.30729; .NET CLR 2.0.50727; .NET CLR 3.0.30729; BRI/2; Tablet PC 2.0; Zune 4.7; InfoPath.3; rv:11.0) like Gecko
Mobile,Android,Android,Chrome,"NerdWallet/2.8.0 (android; 26; en-US) ### Mozilla/5.0 (Linux; Android 8.0.0; SM-G955U Build/R16NW; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0; LG-H961N Build/MRA58K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 7.1.2; Mi Max Build/NJH47F) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"NerdWallet/2.8.0 (android; 21; en-US) ### Mozilla/5.0 (Linux; Android 5.0.2; SAMSUNG-SM-G925A Build/LRX22G; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; X18 Build/LVY48E) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-N920G Build/NRD90M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.74 Mobile Safari/537.36"
Desktop,PC,Windows,Firefox,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:58.0) Gecko/20100101 Mg7vIM3x-16 Firefox/58.0
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; BLU STUDIO 7.0 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-G930P Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 JsSdk/2 NewsArticle/5.3.0 NetType/WIFI"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0 like Mac OS X) AppleWebKit/536.26 (KHTML, like Gecko) GSA/3.2.1.25875 Mobile/14A346 Safari/8536.25"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.4; E2006 Build/25.0.A.2.35) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.1.1; Z982 Build/NMF26V; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Instagram 27.0.0.11.97 Android (25/7.1.1; 480dpi; 1080x1920; ZTE; Z982; crocus; qcom; en_US)"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_5 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D60 Instagram 32.0.0.14.97 (iPhone9,3; iOS 11_2_5; en_CA; en-CA; scale=2.00; gamut=wide; 750x1334)"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; SCH-R890 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/30.0.0.0 Mobile Safari/537.36 Flipboard/4.1.13/4346,4.1.13.4346"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 6.0; E5306 Build/27.3.A.0.165) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.123 Mobile Safari/537.36"
Mobile,Windows Phone,Windows,IE,"Mozilla/5.0 (Mobile; Windows Phone 8.1; Android 4.0; ARM; Trident/7.0; Touch; rv:11.0; IEMobile/11.0; NOKIA; Lumia 620; vodafone ES) like iPhone OS 7_0_3 Mac OS X AppleWebKit/537 (KHTML, like Gecko) Mobile Safari/537"
Mobile,iPhone,iOS,Other,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_2 like Mac OS X; zh-CN) AppleWebKit/537.51.1 (KHTML, like Gecko) Mobile/13F69 UCBrowser/11.4.8.938 Mobile  AliApp(TUnionSDK/0.1.15)"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; Build/LMY49G) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Mobile Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; VS501 Build/NRD90U; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Instagram 34.0.0.4.93 Android (24/7.0; 320dpi; 720x1193; LGE/lge; VS501; lv517; lv517; en_US; 93321235)"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D100 Instagram 27.0.0.13.98 (iPhone9,2; iOS 11_2_6; en_US; en-US; scale=2.61; gamut=wide; 1080x1920)"
Tablet,Android Tablet,Android,Chrome,"Mozilla/5.0 (Linux; Android 4.4.2; A1040 Build/KOT49H) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/64.0.3282.137 Safari/537.36"
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 7.0; SM-A810F Build/NRD90M; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/64.0.3282.137 Mobile Safari/537.36 Flipboard/4.1.9/4324,4.1.9.4324"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; U; Android 6.0.1; en-US; SM-J210F Build/MMB29Q) AppleWebKit/528.5+ (KHTML, like Gecko) Version/3.1.2 Mobile Safari/525.20.1 UCBrowser/10.4.2.659 Mobile"
Mobile,Android Tablet,Android,Android,UCWEB/2.0 (Java; U; MIDP-2.0; Nokia203/20.37) U2/1.0.0 UCMini/10.9.5.983 (SpeedMode; Proxy; Android 7.0; InFocus_M505 ) U2/1.0.0 Mobile
Mobile,Android,Android,Chrome,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G900T1 Build/LMY47X; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/55.0.2883.84 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; Android 7.0; HUAWEI NXT-AL10 Build/HUAWEINXT-AL10) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/6.4 Chrome/56.0.2924.87 Mobile Safari/537.36"
Mobile,Android,Android,Other,"Mozilla/5.0 (Linux; U; Android 6.0.1; en-US; LS-5505 Build/LYF_LS-5505_01_09) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/57.0.2987.108 UCBrowser/12.0.0.1088 Mobile Safari/537.36"
Mobile,iPhone,iOS,Safari,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6 like Mac OS X) AppleWebKit/604.5.6 (KHTML, like Gecko) Mobile/15D100 Instagram 28.0.0.12.285 (iPhone9,3; iOS 11_2_6; en_US; en-US; scale=2.00; gamut=wide; 750x1334)"
