uuid,pgviews
1564,1
1948,2
1946,1
1944,1
1945,1
340,1
342,1
814,1
815,2
816,1
1739,1
1545,1
1399,6
717,2
1792,1
1790,1
713,2
1795,3
1490,1
421,1
1492,1
1499,6
1264,3
1069,1
1702,1
1703,1
1704,1
1705,5
1706,1
1061,1
1528,1
1065,1
1392,1
1258,1
298,1
296,1
1666,1
912,1
1661,4
591,5
1129,1
595,1
597,1
1080,1
599,1
598,1
1122,17
1125,1
192,1
270,4
272,1
276,1
277,1
524,6
520,1
1014,1
528,1
1406,1
1013,1
1234,5
1546,1
448,1
1231,1
1491,2
1335,1
442,1
109,1
102,3
101,6
106,1
902,1
39,1
1510,1
906,2
907,1
33,1
909,1
36,6
35,4
34,1
1537,3
1536,1
645,1
438,1
646,3
437,1
435,2
339,3
336,1
333,4
1904,1
1905,1
1900,2
851,1
852,1
99,1
98,1
94,1
97,3
1991,6
1992,2
1629,1
1628,1
741,1
742,1
743,3
744,2
558,4
747,1
554,6
1313,1
230,4
233,1
1050,5
1054,1
1055,6
1057,1
1310,2
1195,1
1197,1
1793,1
1694,1
1693,3
1759,7
1758,1
1753,1
1698,1
1750,1
1278,5
619,1
142,1
140,6
1170,1
612,1
613,1
1272,1
611,1
616,1
1275,1
1888,4
1884,1
1880,5
1529,7
1287,1
1280,1
948,8
1282,1
947,1
945,1
943,1
1473,2
1470,1
1578,2
689,2
688,1
1573,2
684,1
1478,1
686,1
681,1
1304,1
1305,1
1306,8
1300,1
622,4
1818,1
1309,1
133,3
131,1
137,6
136,1
135,1
497,6
24,1
25,1
20,1
1837,1
1451,2
1839,1
29,1
939,1
938,1
403,1
1377,2
1379,1
932,1
936,1
409,2
1954,1
1959,1
1958,1
1828,1
1708,1
828,1
1709,1
825,1
373,1
372,2
820,1
377,2
704,2
1483,4
392,1
391,5
1487,1
394,4
83,1
80,6
86,1
84,2
797,1
795,1
794,5
793,1
791,1
790,1
799,1
1271,1
1652,1
1650,1
1655,8
587,1
1139,1
585,6
1813,1
1132,1
1131,1
1130,1
1136,6
588,2
589,1
245,1
246,1
241,1
249,3
1436,1
1435,1
1432,3
924,1
1007,1
1005,1
515,1
514,2
1348,10
459,1
1225,1
620,5
1223,2
1222,2
1221,2
450,4
451,1
629,1
1343,1
1344,1
455,7
1347,2
1876,1
1874,1
1988,1
179,1
178,1
1878,2
977,1
182,1
1503,7
978,4
656,1
183,1
655,1
187,1
184,1
651,1
1508,4
659,1
1915,1
1914,1
869,1
868,2
861,3
865,4
866,1
1467,1
1226,1
1975,1
1502,1
1619,1
1616,1
1617,2
1967,1
1960,1
1962,1
322,2
1476,1
774,1
202,4
771,1
772,1
209,2
208,2
778,1
75,1
74,1
73,1
72,1
1572,5
79,1
2,5
1042,1
1040,1
1043,1
1594,1
1768,1
1684,2
1686,1
1762,1
1688,1
1760,1
1767,3
1765,7
1140,1
1263,1
1148,1
1149,4
1266,1
1265,1
660,1
692,1
693,1
690,13
691,2
696,9
1543,1
695,1
699,1
1598,1
1780,2
1518,1
547,3
1465,4
1464,1
548,1
1466,3
1463,1
997,1
996,1
991,1
1312,1
992,1
1784,3
1785,1
1403,1
126,4
129,1
1128,1
1825,1
1824,1
1826,1
1823,1
1822,1
414,2
416,1
1388,2
411,4
412,1
413,3
1385,1
1386,1
418,1
419,1
1382,3
499,1
1182,2
310,15
314,1
1237,1
1925,2
1134,1
838,8
365,1
363,1
1749,1
1832,1
1774,1
381,1
386,1
1645,1
785,1
