uuid,pgviews
1949,1
1144,6
1942,4
1943,5
1941,7
345,1
347,1
341,1
343,1
811,1
812,8
813,1
348,8
349,3
817,4
1799,1
1798,10
718,1
716,3
1791,2
714,1
1797,4
712,1
711,2
1794,1
1493,8
1496,11
917,1
1068,1
916,4
1707,1
1060,1
1063,4
1067,1
1066,1
1391,7
1998,9
294,5
295,2
292,6
1662,3
290,1
291,6
1085,2
592,1
199,1
594,1
1120,8
197,1
196,3
191,5
190,3
1089,3
1127,1
271,1
273,4
274,2
275,2
1359,3
526,3
527,1
1018,1
1019,2
522,6
1015,1
1016,1
1400,3
1011,1
1404,1
449,1
1339,1
1338,1
1232,8
443,1
1337,7
1336,9
447,7
1239,1
445,1
444,4
108,4
103,1
100,10
107,7
104,1
105,5
903,1
900,2
904,1
32,1
31,1
30,1
1847,1
1844,2
640,2
643,1
642,1
1245,1
647,1
436,2
648,1
433,3
1538,7
335,1
331,4
1907,6
1903,2
1901,4
854,2
856,1
853,1
859,3
555,2
6,1
1469,1
91,1
93,13
95,1
1620,1
1625,1
1624,2
1999,1
1961,1
740,1
559,1
748,2
557,5
556,1
551,9
550,5
553,5
552,1
234,19
235,1
1351,6
1199,6
1198,3
1052,1
1053,3
1056,3
1191,4
1059,3
1194,7
1196,1
1,1
1695,5
1690,2
1691,1
1757,1
1755,1
1754,6
147,1
144,1
145,5
143,5
1171,1
141,3
1270,8
1274,7
1179,1
149,1
1950,1
1889,3
1887,1
1886,1
1885,1
1883,4
1882,9
1881,4
1500,4
1285,1
1284,1
1004,7
1283,3
949,1
946,3
944,1
941,1
1471,11
1474,7
1190,1
685,1
687,8
1577,1
680,1
1227,6
1302,4
1303,8
1308,2
498,1
134,3
494,1
139,20
490,10
491,6
492,5
493,3
1696,1
1831,10
1836,1
21,2
1834,5
1243,1
1370,1
404,4
1375,3
402,2
400,1
933,10
931,5
930,4
937,4
408,18
1701,2
1955,1
1957,1
1956,4
1229,1
1953,1
1228,1
378,2
1875,1
371,2
824,2
826,2
821,2
823,1
709,3
1176,4
700,2
618,3
393,1
1482,2
1481,3
89,3
397,2
396,1
395,1
82,1
399,1
81,4
87,1
1172,6
796,1
1711,4
1717,2
792,1
1715,3
929,2
1719,4
1718,6
798,3
1658,12
1659,1
7,1
170,1
1656,1
1657,2
584,2
582,1
583,2
580,1
1133,2
1984,9
1135,1
240,2
243,2
1178,10
248,1
1437,10
1433,2
1981,18
1439,1
1009,1
1008,1
510,3
512,1
1003,1
1001,1
1000,2
623,2
1224,2
625,2
452,1
628,4
454,1
456,3
457,1
1877,12
1084,1
1872,4
1870,4
1871,1
177,1
176,1
1989,3
173,9
198,1
976,7
975,1
973,7
972,4
180,1
979,1
654,1
181,1
186,3
650,1
185,5
652,1
189,1
1123,3
1124,5
1505,9
1919,3
1286,2
1911,1
1912,1
1917,1
11,3
1279,2
13,1
14,1
17,6
16,10
19,6
18,1
863,1
862,5
864,5
867,1
1976,2
881,1
880,1
887,1
885,2
884,2
889,1
888,1
1748,3
1968,4
1969,6
1618,2
1965,2
1966,1
1615,3
1612,3
1613,6
1610,8
1963,1
323,1
354,10
326,3
324,1
325,9
329,19
562,1
775,3
777,4
206,1
1475,3
779,1
77,1
71,4
70,3
1041,1
1045,3
1044,1
1681,2
1680,1
1683,1
1682,1
1687,3
1761,1
1764,3
1788,18
1147,1
669,4
1145,1
667,1
666,1
1261,6
664,1
1267,1
1542,2
697,1
694,18
1541,2
1599,4
1409,1
1549,2
542,4
543,1
540,2
546,1
545,1
8,1
1460,2
1462,1
995,4
1316,3
1315,1
1314,4
999,4
1319,1
1318,3
122,6
123,6
125,3
127,1
128,12
1787,5
1829,1
1827,2
1820,1
415,5
1384,9
1387,1
1383,2
319,6
318,1
313,1
311,1
317,1
316,5
1921,6
1922,1
1924,2
1929,5
832,1
830,2
831,2
836,1
837,1
835,2
839,1
725,5
368,1
366,13
367,1
360,5
1833,1
1238,1
1330,10
380,9
382,3
385,3
388,10
389,11
1332,2
784,4
1644,1
781,6
783,6
1740,8
1725,6
1649,2
1648,1
1174,4
1721,5
1743,1
578,1
150,5
572,1
570,1
576,21
575,5
574,2
61,3
258,1
259,3
64,9
66,4
251,1
257,3
254,6
1423,1
1589,19
1425,2
1427,7
1426,4
1429,2
1583,1
1581,1
1584,1
1585,1
1205,3
733,7
735,1
736,2
1033,9
504,1
1031,1
502,1
1037,1
631,1
632,5
1211,1
1216,3
1217,1
1214,13
637,2
639,1
1218,1
1219,4
463,13
1863,8
1865,3
1867,4
1866,9
1869,2
165,1
966,3
1677,1
960,4
962,8
1107,1
1104,5
1457,1
1519,3
1100,1
1842,3
1516,2
1511,1
908,4
1660,2
1512,1
1723,3
1720,4
1814,1
1815,5
876,1
877,2
873,1
870,3
1242,1
1276,1
1533,1
891,1
892,3
1156,2
895,1
896,1
897,3
899,4
1099,1
649,4
1277,2
